accession	organism	kingdom	length	sp_cleavage_site
P21589	Homo sapiens	Metazoa	574	26
A0A2I6QAZ5	Trametes coccinea (strain BRFM310)	Fungi	428	21
Q9TT95	Sus scrofa	Metazoa	120	22
Q9Y653	Homo sapiens	Metazoa	693	25
P06868	Bos taurus	Metazoa	812	26
P84843	Hybomitra bimaculata	Metazoa	76	20
P00992	Vipera ammodytes ammodytes	Metazoa	93	24
Q99372	Rattus norvegicus	Metazoa	870	27
O95968	Homo sapiens	Metazoa	90	21
Q5XM24	Dictyostelium discoideum	Other	494	18
C5J887	Opisthacanthus cayaporum	Metazoa	69	23
P03971	Homo sapiens	Metazoa	560	24
Q9GZM7	Homo sapiens	Metazoa	467	21
I2G9B4	Macrovipera lebetina transmediterranea	Metazoa	95	24
P01480	Androctonus australis	Metazoa	84	19
P11226	Homo sapiens	Metazoa	248	20
P15253	Oryctolagus cuniculus	Metazoa	418	17
P10282	Fusarium fujikuroi	Fungi	131	25
G8XQX1	Daboia russelii	Metazoa	504	18
Q00855	Dermatophagoides farinae	Metazoa	146	17
P13744	Cucurbita maxima	Plants	480	21
P08069	Homo sapiens	Metazoa	1367	30
O18994	Sus scrofa	Metazoa	219	21
P07204	Homo sapiens	Metazoa	575	18
P25871	Nicotiana tabacum	Plants	251	21
Q38L02	Daboia siamensis	Metazoa	154	23
Q07154	Zea mays	Plants	269	24
Q9ES58	Rattus norvegicus	Metazoa	327	23
Q9H9K5	Homo sapiens	Metazoa	563	26
Q86Y34	Homo sapiens	Metazoa	549	20
P26461	Sus scrofa	Metazoa	97	26
Q9NII6	Olivierus martensii	Metazoa	57	20
O95998	Homo sapiens	Metazoa	194	30
O55038	Mus musculus	Metazoa	109	21
P38029	Equus caballus	Metazoa	421	24
P09228	Homo sapiens	Metazoa	141	20
F1N5C8	Bos taurus	Metazoa	445	22
Q9GZZ8	Homo sapiens	Metazoa	138	19
Q6H3D5	Trimeresurus stejnegeri	Metazoa	138	16
P67861	Daboia russelii	Metazoa	144	24
P0C1Y5	Zea mays	Plants	269	30
Q76CE8	Typhula ishikariensis	Fungi	243	20
P91745	Lucilia cuprina	Metazoa	375	20
C0STK6	Elaphe climacophora	Metazoa	167	19
Q6F4C6	Pinctada fucata	Metazoa	121	16
P14091	Homo sapiens	Metazoa	396	19
P11936	Sus scrofa	Metazoa	284	22
P31096	Bos taurus	Metazoa	278	16
Q41260	Phalaris aquatica	Plants	269	29
P45590	Hyalophora cecropia	Metazoa	129	17
P37240	Oncorhynchus mykiss	Metazoa	147	20
P01442	Naja atra	Metazoa	81	21
P24027	Crotalus durissus terrificus	Metazoa	138	16
P49767	Homo sapiens	Metazoa	419	31
P84688	Tityus obscurus	Metazoa	84	20
P07221	Oryctolagus cuniculus	Metazoa	395	28
O46168	Eratigena agrestis	Metazoa	68	17
P20059	Rattus norvegicus	Metazoa	460	23
D7UQ40	Alternaria solani	Fungi	515	25
P51460	Homo sapiens	Metazoa	131	20
Q9NPR2	Homo sapiens	Metazoa	837	43
P00709	Homo sapiens	Metazoa	142	19
Q99217	Homo sapiens	Metazoa	191	16
P29421	Oryza sativa subsp. japonica	Plants	200	22
P15196	Oryctolagus cuniculus	Metazoa	398	31
P01569	Homo sapiens	Metazoa	189	21
P01384	Notechis scutatus scutatus	Metazoa	94	21
P08721	Rattus norvegicus	Metazoa	317	16
O42807	Aspergillus niger	Fungi	281	21
P16150	Homo sapiens	Metazoa	400	19
Q968Z6	Dictyostelium discoideum	Other	557	19
P0C554	Bungarus fasciatus	Metazoa	86	21
P07712	Aplysia californica	Metazoa	112	23
P17728	Leiurus hebraeus	Metazoa	85	19
Q13421	Homo sapiens	Metazoa	630	36
Q41649	Vicia faba	Plants	151	22
Q86Y78	Homo sapiens	Metazoa	171	22
P21326	Mirabilis jalapa	Plants	278	28
Q29143	Trichosurus vulpecula	Metazoa	102	20
P0C553	Bungarus fasciatus	Metazoa	79	21
Q867W1	Procambarus clarkii	Metazoa	76	27
P0DUS7	Doratifera vulnerans	Metazoa	56	19
O94985	Homo sapiens	Metazoa	981	28
P80060	Locusta migratoria	Metazoa	92	19
P61629	Papio anubis	Metazoa	148	18
P19633	Rattus norvegicus	Metazoa	406	34
Q9UBU3	Homo sapiens	Metazoa	117	23
W8E7D1	Macrovipera lebetinus	Metazoa	851	23
Q9HC23	Homo sapiens	Metazoa	129	27
P84809	Buthus occitanus tunetanus	Metazoa	95	22
Q61789	Mus musculus	Metazoa	3330	31
P18829	Schistocerca gregaria	Metazoa	63	22
Q9NRC9	Homo sapiens	Metazoa	128	17
A0A2I4E5L6	Juglans regia	Plants	502	27
P80463	Phaseolus lunatus	Plants	428	24
Q5I0E7	Rattus norvegicus	Metazoa	235	37
P05814	Homo sapiens	Metazoa	226	15
P01887	Mus musculus	Metazoa	119	20
O95407	Homo sapiens	Metazoa	300	29
P81370	Actinidia deliciosa	Plants	225	24
P29695	Protobothrops flavoviridis	Metazoa	342	19
P06867	Sus scrofa	Metazoa	809	19
Q99ML8	Mus musculus	Metazoa	113	23
Q86T13	Homo sapiens	Metazoa	490	21
Q9UIK5	Homo sapiens	Metazoa	374	40
P98172	Homo sapiens	Metazoa	346	27
P02668	Bos taurus	Metazoa	190	21
P11916	Aquarana catesbeiana	Metazoa	133	22
A5HAK0	Danio rerio	Metazoa	149	22
P43626	Homo sapiens	Metazoa	348	21
Q3L1D1	Agaricus bisporus	Fungi	594	25
P80915	Macadamia integrifolia	Plants	102	26
P02703	Sus scrofa	Metazoa	112	17
P0DJJ9	Protobothrops flavoviridis	Metazoa	138	16
Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24
P11941	Oncorhynchus mykiss	Metazoa	144	15
P0DPU0	Scolopendra dehaani	Metazoa	210	23
P02870	Lens culinaris	Plants	275	30
P80195	Bos taurus	Metazoa	153	18
P07692	Torpedo marmorata	Metazoa	590	24
P0DPU2	Scolopendra dehaani	Metazoa	211	20
P40259	Homo sapiens	Metazoa	229	28
P31346	Sus scrofa	Metazoa	147	24
P17164	Rattus norvegicus	Metazoa	462	28
Q4LCS8	Androctonus australis	Metazoa	82	22
Q99013	Pseudopleuronectes americanus	Metazoa	82	23
P81941	Pseudopleuronectes americanus	Metazoa	68	22
Q9U3Z3	Conus betulinus	Metazoa	70	26
Q9UK23	Homo sapiens	Metazoa	515	25
P01269	Sus scrofa	Metazoa	115	25
Q8MM24	Drosophila melanogaster	Metazoa	439	20
